Q vs Qb X,Q vs Qb Y,Qb vs Q X,Qb vs Q Y,/Qb X,/Qb Y
0,1.799999950867788,1.799999950867788,0,0,0
0.01,1.799999945612264,1.799999945612264,0.01,0.01,0.01
0.02,1.799999938419913,1.799999938419913,0.02,0.02,0.02
0.03,1.79999992845048,1.79999992845048,0.03,0.03,0.03
0.04,1.799999914606529,1.799999914606529,0.04,0.04,0.04
0.05,1.799999895357904,1.799999895357904,0.05,0.05,0.05
0.06,1.799999868572138,1.799999868572138,0.06,0.06,0.06
0.07000000000000001,1.799999831279091,1.799999831279091,0.07000000000000001,0.07000000000000001,0.07000000000000001
0.08,1.799999779344779,1.799999779344779,0.08,0.08,0.08
0.09,1.799999707020113,1.799999707020113,0.09,0.09,0.09
0.09999999999999999,1.799999606317802,1.799999606317802,0.09999999999999999,0.09999999999999999,0.09999999999999999
0.11,1.799999466153988,1.799999466153988,0.11,0.11,0.11
0.12,1.799999271169021,1.799999271169021,0.12,0.12,0.12
0.13,1.799999000112627,1.799999000112627,0.13,0.13,0.13
0.14,1.799998623640874,1.799998623640874,0.14,0.14,0.14
0.15,1.799998101323874,1.799998101323874,0.15,0.15,0.15
0.16,1.799997377602228,1.799997377602228,0.16,0.16,0.16
0.17,1.799996376355263,1.799996376355263,0.17,0.17,0.17
0.18,1.799994993654428,1.799994993654428,0.18,0.18,0.18
0.19,1.799993088171582,1.799993088171582,0.19,0.19,0.19
0.2,1.799990468597337,1.799990468597337,0.2,0.2,0.2
0.21,1.799986877305565,1.799986877305565,0.21,0.21,0.21
0.2200000000000001,1.79998196938648,1.79998196938648,0.2200000000000001,0.2200000000000001,0.2200000000000001
0.2300000000000001,1.799975286075906,1.799975286075906,0.2300000000000001,0.2300000000000001,0.2300000000000001
0.2400000000000001,1.799966221547117,1.799966221547117,0.2400000000000001,0.2400000000000001,0.2400000000000001
0.2500000000000001,1.799953982015534,1.799953982015534,0.2500000000000001,0.2500000000000001,0.2500000000000001
0.2600000000000001,1.799937536136292,1.799937536136292,0.2600000000000001,0.2600000000000001,0.2600000000000001
0.2700000000000001,1.799915555730227,1.799915555730227,0.2700000000000001,0.2700000000000001,0.2700000000000001
0.2800000000000001,1.799886345905333,1.799886345905333,0.2800000000000001,0.2800000000000001,0.2800000000000001
0.2900000000000001,1.799847763566091,1.799847763566091,0.2900000000000001,0.2900000000000001,0.2900000000000001
0.3000000000000001,1.799797123020167,1.799797123020167,0.3000000000000001,0.3000000000000001,0.3000000000000001
0.3100000000000001,1.799731086812923,1.799731086812923,0.3100000000000001,0.3100000000000001,0.3100000000000001
0.3200000000000001,1.799645539027637,1.799645539027637,0.3200000000000001,0.3200000000000001,0.3200000000000001
0.3300000000000001,1.799535437202074,1.799535437202074,0.3300000000000001,0.3300000000000001,0.3300000000000001
0.3400000000000001,1.799394638033426,1.799394638033426,0.3400000000000001,0.3400000000000001,0.3400000000000001
0.3500000000000001,1.799215691657461,1.799215691657461,0.3500000000000001,0.3500000000000001,0.3500000000000001
0.3600000000000002,1.798989600081124,1.798989600081124,0.3600000000000002,0.3600000000000002,0.3600000000000002
0.3700000000000002,1.798705537863099,1.798705537863099,0.3700000000000002,0.3700000000000002,0.3700000000000002
0.3800000000000002,1.798350537689572,1.798350537689572,0.3800000000000002,0.3800000000000002,0.3800000000000002
0.3900000000000002,1.797909150006728,1.797909150006728,0.3900000000000002,0.3900000000000002,0.3900000000000002
0.4000000000000002,1.797363093771121,1.797363093771121,0.4000000000000002,0.4000000000000002,0.4000000000000002
